frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-3.027321,-5.709887,0.870183,0.492730,42
map,-3.040184,-5.688450,0.870322,0.492484,42
map,-3.053066,-5.667025,0.870427,0.492298,42
map,-3.065948,-5.645599,0.870524,0.492126,42
map,-3.078848,-5.624184,0.870721,0.491778,42
map,-3.091764,-5.602779,0.870832,0.491581,42
map,-3.104682,-5.581376,0.870926,0.491414,42
map,-3.117615,-5.559981,0.871165,0.490991,42
map,-3.130575,-5.538602,0.871719,0.490006,42
map,-3.143605,-5.517266,0.872229,0.489097,42
map,-3.156654,-5.495942,0.872569,0.488490,42
map,-3.169742,-5.474642,0.873601,0.486643,42
map,-3.182971,-5.453429,0.875160,0.483835,42
map,-3.196332,-5.432299,0.876751,0.480945,42
map,-3.209840,-5.411263,0.878285,0.478138,42
map,-3.223470,-5.390305,0.880732,0.473616,42
map,-3.237408,-5.369551,0.883678,0.468095,42
map,-3.251559,-5.348941,0.886226,0.463254,42
map,-3.265948,-5.328496,0.889226,0.457469,42
map,-3.280631,-5.308262,0.892244,0.451554,42
map,-3.295557,-5.288208,0.895499,0.445064,42
map,-3.310821,-5.268409,0.897301,0.441420,42
map,-3.326072,-5.248599,0.899960,0.435972,42
map,-3.341811,-5.229176,0.904731,0.425984,42
map,-3.357924,-5.210061,0.906521,0.422160,42
map,-3.373990,-5.190907,0.908418,0.418064,42
map,-3.390444,-5.172085,0.912191,0.409766,42
map,-3.407198,-5.153529,0.913407,0.407047,42
map,-3.423876,-5.134905,0.914543,0.404489,42
map,-3.440835,-5.116538,0.915619,0.402046,42
map,-3.457711,-5.098094,0.916257,0.400591,42
map,-3.474788,-5.079834,0.918478,0.395472,42
map,-3.492071,-5.061770,0.919161,0.393882,42
map,-3.509274,-5.043630,0.919594,0.392870,42
map,-3.526636,-5.025643,0.921249,0.388974,42
map,-3.544143,-5.007796,0.921638,0.388052,42
map,-3.561578,-4.989879,0.921989,0.387216,42
map,-3.579149,-4.972095,0.923527,0.383532,42
map,-3.596868,-4.954459,0.924134,0.382070,42
map,-3.614552,-4.936787,0.924813,0.380422,42
map,-3.632395,-4.919277,0.926656,0.375911,42
map,-3.650420,-4.901954,0.927632,0.373496,42
map,-3.668445,-4.884631,0.928777,0.370640,42
map,-3.686682,-4.867530,0.931030,0.364942,42
map,-3.705127,-4.850654,0.932203,0.361936,42
map,-3.723582,-4.833790,0.933670,0.358134,42
map,-3.742299,-4.817217,0.936209,0.351444,42
map,-3.761230,-4.800889,0.937466,0.348076,42
map,-3.780183,-4.784586,0.938702,0.344730,42
map,-3.799345,-4.768529,0.940715,0.339198,42
map,-3.818677,-4.752678,0.941656,0.336577,42
map,-3.838017,-4.736835,0.942517,0.334159,42
map,-3.857511,-4.721183,0.944062,0.329768,42
map,-3.877142,-4.705704,0.944783,0.327696,42
map,-3.896772,-4.690223,0.945458,0.325745,42
map,-3.916531,-4.674906,0.946675,0.322191,42
map,-3.936391,-4.659722,0.946995,0.321248,42
map,-3.956211,-4.644484,0.947247,0.320505,42
map,-3.976119,-4.629363,0.948094,0.317991,42
map,-3.996099,-4.614336,0.948815,0.315834,42
map,-4.016144,-4.599396,0.949500,0.313767,42
map,-4.036253,-4.584544,0.949841,0.312735,42
map,-4.036253,-4.584543,0.994595,-0.103835,42

map,0.585457,-11.636365,0.784595,0.620009,43
map,0.574530,-11.590382,0.766853,0.641823,43
